time,open,high,low,close
1239249900,0.580000,0.580000,0.579600,0.579600
1239249960,0.579600,0.580000,0.579600,0.580000
1239250020,0.580000,0.580000,0.580000,0.580000
1239250200,0.579900,0.579900,0.579600,0.579600
1239250260,0.579600,0.579600,0.579100,0.579100
1239250320,0.579500,0.579500,0.579400,0.579400
1239250380,0.579400,0.579400,0.579300,0.579300
1239250440,0.579500,0.579500,0.579100,0.579100
1239250500,0.579200,0.579500,0.579200,0.579500
1239250620,0.579500,0.580000,0.579500,0.579800
1239250680,0.579800,0.579900,0.579800,0.579800
1239250860,0.579700,0.579700,0.579700,0.579700
1239250920,0.579900,0.580600,0.579800,0.579800
1239250980,0.579900,0.580500,0.579900,0.580500
1239251040,0.580400,0.580500,0.580400,0.580500
1239251100,0.580400,0.580700,0.580400,0.580700
1239251160,0.580600,0.580600,0.580600,0.580600
1239251220,0.580500,0.580700,0.580500,0.580700
1239251280,0.580600,0.580600,0.580300,0.580400
1239251340,0.580300,0.580500,0.580300,0.580500
1239251400,0.580400,0.580400,0.580400,0.580400
1239251520,0.580200,0.580200,0.580100,0.580100
1239251700,0.580200,0.580200,0.580200,0.580200
1239251880,0.580200,0.580200,0.580200,0.580200
1239252000,0.580500,0.580500,0.580100,0.580100
1239252180,0.580400,0.580400,0.580100,0.580400
1239252240,0.580600,0.580600,0.580500,0.580500
1239252300,0.580600,0.580600,0.580600,0.580600
1239252360,0.580600,0.580600,0.580500,0.580600
1239252420,0.580600,0.581000,0.580600,0.580900
1239252480,0.581000,0.581700,0.581000,0.581200
1239252540,0.581200,0.581200,0.581000,0.581000
1239252600,0.581100,0.581200,0.580900,0.581000
1239252660,0.581000,0.581200,0.581000,0.581100
1239252720,0.581100,0.581300,0.581100,0.581300
1239252780,0.581300,0.581300,0.581100,0.581200
1239252840,0.581300,0.581700,0.581300,0.581700
1239252900,0.581700,0.582900,0.581600,0.581900
1239252960,0.581700,0.581900,0.581600,0.581600
1239253020,0.581700,0.581900,0.581700,0.581900
1239253080,0.581900,0.582000,0.581900,0.581900
1239253140,0.582000,0.582000,0.581800,0.581900
1239253200,0.581900,0.582100,0.581700,0.581700
1239253320,0.581600,0.581600,0.581400,0.581400
1239253380,0.581400,0.581500,0.581400,0.581500
1239253440,0.581600,0.581700,0.581500,0.581700
1239253500,0.581900,0.582000,0.581800,0.582000
1239253560,0.581900,0.582100,0.581900,0.582000
1239253680,0.582000,0.582000,0.582000,0.582000
1239253740,0.581900,0.581900,0.581500,0.581500
1239253800,0.582000,0.582000,0.581400,0.581400
1239253860,0.581400,0.581500,0.581400,0.581500
1239254100,0.581500,0.581500,0.581400,0.581400
1239254160,0.581400,0.581400,0.581100,0.581200
1239254220,0.581300,0.581300,0.580800,0.580800
1239254280,0.580700,0.581100,0.580700,0.581000
1239254340,0.580900,0.581100,0.580900,0.581000
1239254400,0.581100,0.581100,0.581100,0.581100
1239254520,0.581100,0.581100,0.581100,0.581100
1239254640,0.581400,0.581400,0.581100,0.581100
1239254700,0.581400,0.581400,0.581400,0.581400
1239254760,0.581400,0.581400,0.581200,0.581200
1239254820,0.581300,0.581400,0.581100,0.581300
1239254880,0.581200,0.581300,0.581200,0.581300
1239254940,0.581200,0.581300,0.581200,0.581300
1239255000,0.581300,0.581300,0.581100,0.581100
1239255120,0.581300,0.581400,0.581300,0.581400
1239255180,0.581400,0.581400,0.581300,0.581300
1239255300,0.581400,0.581400,0.581300,0.581300
1239255420,0.581400,0.581400,0.581400,0.581400
1239255480,0.581300,0.581400,0.581100,0.581400
1239255540,0.581500,0.581500,0.581300,0.581300
1239255600,0.581500,0.581800,0.581500,0.581800
1239255660,0.581600,0.581800,0.581600,0.581800
1239255720,0.581800,0.581900,0.581800,0.581900
1239255780,0.582100,0.582100,0.581900,0.582000
1239255840,0.582100,0.582300,0.582100,0.582200
1239255900,0.582400,0.582400,0.582200,0.582300
1239255960,0.582200,0.582200,0.582100,0.582100
1239256020,0.581800,0.582100,0.581700,0.581700
1239256080,0.581900,0.581900,0.581900,0.581900
1239256200,0.581900,0.581900,0.581900,0.581900
1239256260,0.581900,0.583000,0.581900,0.583000
1239256320,0.582800,0.583400,0.582400,0.582800
1239256380,0.582900,0.583100,0.582600,0.582600
1239256440,0.582600,0.583100,0.582600,0.583100
1239256500,0.583000,0.583000,0.582800,0.582800
1239256560,0.583000,0.583100,0.582500,0.583100
1239256620,0.582900,0.583100,0.582900,0.582900
1239256680,0.582900,0.582900,0.582800,0.582800
1239256740,0.582900,0.582900,0.582700,0.582800
1239256800,0.582900,0.582900,0.582400,0.582400
1239256860,0.582300,0.582400,0.582200,0.582400
1239256920,0.582700,0.583100,0.582700,0.583100
1239256980,0.583100,0.583600,0.583000,0.583600
1239257040,0.583500,0.584600,0.583500,0.584500
1239257100,0.584600,0.584700,0.584100,0.584100
1239257160,0.584100,0.584100,0.583600,0.583600
1239257220,0.583700,0.583800,0.583600,0.583800
1239257280,0.583700,0.584100,0.583600,0.583800
1239257340,0.583700,0.583900,0.583300,0.583600
1239257400,0.583700,0.583800,0.583400,0.583600
1239257460,0.583800,0.583800,0.583600,0.583600
1239257520,0.583900,0.583900,0.583500,0.583500
1239257580,0.583500,0.583600,0.583200,0.583400
1239257640,0.583200,0.583400,0.583200,0.583400
1239257700,0.583400,0.583400,0.583400,0.583400
1239257760,0.583400,0.583400,0.583400,0.583400
1239257820,0.583600,0.583600,0.583400,0.583400
1239257880,0.583500,0.583900,0.583500,0.583900
1239257940,0.583900,0.584100,0.583600,0.584000
1239258000,0.583800,0.583900,0.583600,0.583800
1239258060,0.583900,0.583900,0.583700,0.583800
1239258120,0.583700,0.584000,0.583700,0.584000
1239258180,0.583900,0.583900,0.583800,0.583900
1239258240,0.583900,0.583900,0.583600,0.583600
1239258300,0.583500,0.583500,0.583100,0.583500
1239258360,0.583500,0.583600,0.583200,0.583300
1239258420,0.583200,0.583700,0.583200,0.583700
1239258480,0.583100,0.583600,0.582900,0.583100
1239258540,0.583500,0.583600,0.583200,0.583600
1239258600,0.583600,0.583800,0.583500,0.583500
1239258660,0.583600,0.583600,0.583400,0.583500
1239258720,0.583500,0.583500,0.583300,0.583300
1239258780,0.583500,0.583500,0.583400,0.583500
1239258840,0.583500,0.584100,0.583500,0.583900
1239258900,0.583900,0.584600,0.583900,0.584300
1239258960,0.584400,0.584400,0.583800,0.583800
1239259020,0.583900,0.584300,0.583900,0.584000
1239259080,0.584000,0.584300,0.583800,0.583800
1239259140,0.584100,0.584200,0.584100,0.584200
1239259200,0.583900,0.584400,0.583800,0.583900
1239259260,0.583900,0.584200,0.583500,0.583500
1239259320,0.583600,0.583600,0.583500,0.583600
1239259380,0.583500,0.583900,0.583500,0.583800
1239259440,0.583900,0.584000,0.583600,0.583900
1239259500,0.583800,0.583800,0.583400,0.583500
1239259560,0.583400,0.583400,0.583100,0.583200
1239259620,0.583200,0.583200,0.583100,0.583200
1239259680,0.583100,0.583200,0.582900,0.582900
1239259740,0.583200,0.583300,0.583200,0.583300
1239259800,0.583200,0.583900,0.583200,0.583500
1239259860,0.583400,0.583400,0.583400,0.583400
