time,open,high,low,close
970113600,0.8835,0.8835,0.8835,0.8835
970113660,0.8834,0.8834,0.8834,0.8834
970113840,0.8835,0.8835,0.8835,0.8835
970113900,0.8834,0.8835,0.8834,0.8835
970114080,0.8836,0.8836,0.8835,0.8836
970114140,0.8835,0.8838,0.8835,0.8838
970114260,0.8837,0.8837,0.8837,0.8837
970115160,0.8838,0.8838,0.8836,0.8838
970115220,0.8837,0.8837,0.8837,0.8837
970115340,0.8838,0.8839,0.8838,0.8839
970115400,0.884,0.884,0.8836,0.8839
970115460,0.884,0.8842,0.884,0.8841
970115520,0.8842,0.8842,0.8841,0.8841
970115580,0.884,0.8842,0.884,0.8841
970115640,0.884,0.884,0.884,0.884
970115760,0.8839,0.884,0.8839,0.8839
970115820,0.884,0.884,0.884,0.884
970115880,0.8839,0.8839,0.8839,0.8839
970116060,0.884,0.884,0.8839,0.8839
970116120,0.8838,0.8838,0.8838,0.8838
970116300,0.8839,0.8839,0.8839,0.8839
970116360,0.8838,0.8838,0.8838,0.8838
970116840,0.884,0.8841,0.8839,0.8839
970116900,0.8838,0.8839,0.8838,0.8839
970116960,0.8838,0.8838,0.8838,0.8838
970117020,0.8839,0.8839,0.8839,0.8839
970117200,0.8838,0.8838,0.8838,0.8838
970117440,0.8837,0.8837,0.8837,0.8837
970117500,0.8838,0.8839,0.8838,0.8838
970117560,0.8834,0.8838,0.8834,0.8837
970117680,0.8838,0.8838,0.8837,0.8837
970117740,0.8836,0.8837,0.8836,0.8837
970117800,0.8836,0.8837,0.8836,0.8837
970117860,0.8838,0.8838,0.8838,0.8838
970117920,0.8837,0.8838,0.8837,0.8838
970118160,0.8837,0.8837,0.8837,0.8837
970118280,0.8839,0.8839,0.8838,0.8838
970118340,0.8839,0.8839,0.8838,0.8839
970118460,0.8841,0.8841,0.8841,0.8841
970118580,0.884,0.884,0.884,0.884
970118640,0.8841,0.8841,0.8841,0.8841
970118760,0.8842,0.8842,0.8842,0.8842
970118820,0.8843,0.8844,0.8843,0.8844
970118880,0.8841,0.8841,0.884,0.8841
970118940,0.8842,0.8842,0.8842,0.8842
970119000,0.8841,0.8841,0.8841,0.8841
970119060,0.8842,0.8842,0.8842,0.8842
970119120,0.8843,0.8843,0.8842,0.8842
970119360,0.8841,0.8841,0.8841,0.8841
970119420,0.8843,0.8844,0.8843,0.8844
970119480,0.8849,0.8849,0.8844,0.8846
970119540,0.8847,0.8847,0.8845,0.8846
970119600,0.8847,0.8847,0.8846,0.8846
970119660,0.8847,0.8847,0.8846,0.8847
970119720,0.8848,0.8848,0.8847,0.8848
970119780,0.8847,0.8847,0.8847,0.8847
970119960,0.8846,0.8847,0.8846,0.8847
970120080,0.8848,0.8849,0.8847,0.8847
970120200,0.8848,0.8848,0.8847,0.8847
970120260,0.8848,0.8848,0.8847,0.8847
970120320,0.8848,0.8848,0.8848,0.8848
970120380,0.8847,0.8849,0.8847,0.8848
970120440,0.8849,0.8849,0.8848,0.8849
970120500,0.885,0.885,0.885,0.885
970120560,0.8849,0.8849,0.8849,0.8849
970120680,0.8847,0.8847,0.8847,0.8847
970120740,0.8849,0.8849,0.8849,0.8849
970120800,0.8847,0.8847,0.8847,0.8847
970120920,0.8846,0.8847,0.8846,0.8847
970120980,0.8848,0.8849,0.8848,0.8849
970121040,0.8848,0.8848,0.8847,0.8847
970121100,0.8848,0.8848,0.8848,0.8848
970121280,0.8847,0.8847,0.8847,0.8847
970121580,0.8846,0.8846,0.8846,0.8846
970121640,0.8845,0.8845,0.8844,0.8845
970121700,0.8844,0.8845,0.8844,0.8844
970121760,0.8845,0.8845,0.8843,0.8844
970121880,0.8843,0.8844,0.8843,0.8844
970121940,0.8843,0.8843,0.8843,0.8843
970122060,0.8844,0.8844,0.8844,0.8844
970122120,0.8843,0.8843,0.8843,0.8843
970122240,0.8842,0.8842,0.8842,0.8842
970122420,0.8842,0.8842,0.8842,0.8842
970122480,0.8843,0.8843,0.8843,0.8843
970122540,0.8844,0.8845,0.8844,0.8845
970122600,0.8846,0.8846,0.8846,0.8846
970122660,0.8845,0.8845,0.8845,0.8845
970122720,0.8846,0.8848,0.8846,0.8848
970122780,0.8849,0.8849,0.8849,0.8849
970122840,0.8848,0.8849,0.8848,0.8849
970122960,0.8848,0.8848,0.8848,0.8848
970123080,0.8847,0.8847,0.8844,0.8844
970123140,0.8843,0.8843,0.8833,0.8833
970123200,0.8834,0.8835,0.8834,0.8835
970123260,0.8834,0.8835,0.8834,0.8835
970123320,0.8836,0.8836,0.8835,0.8835
970123380,0.8833,0.8833,0.883,0.883
970123440,0.8829,0.8831,0.8828,0.8831
970123500,0.8829,0.8831,0.8829,0.883
970123560,0.8831,0.8831,0.883,0.883
970123620,0.8831,0.8833,0.8831,0.8833
970123680,0.8832,0.8832,0.8831,0.8831
970123740,0.8832,0.8832,0.8832,0.8832
970123800,0.8833,0.8834,0.8832,0.8833
970123980,0.8832,0.8832,0.8832,0.8832
970124040,0.883,0.8833,0.883,0.8833
970124100,0.8832,0.8833,0.8832,0.8833
