Etc/UTC,Open,High,Low,Close,Volume
2006-01-02T00:00:00+00:00,1.72267,1.72269,1.72252,1.72263,48200000
2006-01-02T00:01:00+00:00,1.72262,1.72271,1.72261,1.72261,78000000
2006-01-02T00:02:00+00:00,1.72258,1.72258,1.72251,1.72252,88100000
2006-01-02T00:03:00+00:00,1.72256,1.72266,1.72256,1.72266,101300000
2006-01-02T00:04:00+00:00,1.72255,1.7226,1.72254,1.72258,61000000
2006-01-02T00:05:00+00:00,1.72268,1.72277,1.72266,1.72269,101800000
2006-01-02T00:06:00+00:00,1.7225,1.72255,1.72247,1.72247,38500000
2006-01-02T00:07:00+00:00,1.72268,1.72268,1.72258,1.72258,30200000
2006-01-02T00:08:00+00:00,1.72268,1.72269,1.72264,1.72267,34900000
2006-01-02T00:09:00+00:00,1.72257,1.72266,1.72254,1.72258,116700000
2006-01-02T00:10:00+00:00,1.72266,1.7227,1.72251,1.72253,111300000
2006-01-02T00:11:00+00:00,1.72259,1.72263,1.7225,1.72257,77200000
2006-01-02T00:13:00+00:00,1.72252,1.72269,1.72251,1.72267,61800000
2006-01-02T00:14:00+00:00,1.7227,1.7227,1.72255,1.72258,41300000
2006-01-02T00:15:00+00:00,1.72259,1.72271,1.72258,1.72271,71000000
2006-01-02T00:16:00+00:00,1.72268,1.72268,1.72253,1.72253,22600000
2006-01-02T00:17:00+00:00,1.7226,1.72267,1.7226,1.72267,45600000
2006-01-02T00:18:00+00:00,1.72268,1.72273,1.72259,1.72273,67800000
2006-01-02T00:19:00+00:00,1.72265,1.72271,1.72254,1.72271,48700000
2006-01-02T00:20:00+00:00,1.72272,1.72272,1.72256,1.72257,54800000
2006-01-02T00:21:00+00:00,1.72252,1.72271,1.7225,1.7227,70900000
2006-01-02T00:22:00+00:00,1.72264,1.72276,1.72261,1.72261,84500000
2006-01-02T00:23:00+00:00,1.72263,1.72271,1.72262,1.72262,11600000
2006-01-02T00:24:00+00:00,1.72256,1.72265,1.72255,1.72265,20800000
2006-01-02T00:25:00+00:00,1.72259,1.7226,1.72253,1.72253,32200000
2006-01-02T00:26:00+00:00,1.72255,1.72265,1.72248,1.72259,58000000
2006-01-02T00:27:00+00:00,1.72253,1.72271,1.72251,1.72271,79600000
2006-01-02T00:28:00+00:00,1.72261,1.72269,1.72261,1.72269,3800000
2006-01-02T00:29:00+00:00,1.7226,1.7227,1.72248,1.7227,74000000
2006-01-02T00:30:00+00:00,1.72265,1.72266,1.72261,1.72266,27000000
2006-01-02T00:31:00+00:00,1.7227,1.7227,1.72232,1.72259,80500000
2006-01-02T00:32:00+00:00,1.72255,1.7227,1.72255,1.7226,45300000
2006-01-02T00:33:00+00:00,1.72269,1.72273,1.7226,1.72263,36100000
2006-01-02T00:34:00+00:00,1.7226,1.72271,1.72259,1.72259,45400000
2006-01-02T00:35:00+00:00,1.7226,1.72272,1.7226,1.72263,122300000
2006-01-02T00:36:00+00:00,1.72258,1.72262,1.72254,1.7226,21900000
2006-01-02T00:37:00+00:00,1.7226,1.72265,1.72257,1.72265,68400000
2006-01-02T00:38:00+00:00,1.72259,1.72273,1.72259,1.72273,57900000
2006-01-02T00:39:00+00:00,1.72273,1.72273,1.72262,1.72272,52900000
2006-01-02T00:40:00+00:00,1.72268,1.72268,1.72262,1.72262,71300000
2006-01-02T00:41:00+00:00,1.72258,1.72268,1.72256,1.72268,89100000
2006-01-02T00:42:00+00:00,1.7227,1.7227,1.72259,1.72259,44500000
2006-01-02T00:43:00+00:00,1.72252,1.7226,1.72252,1.72258,12100000
2006-01-02T00:44:00+00:00,1.72243,1.72263,1.72243,1.72263,59100000
2006-01-02T00:45:00+00:00,1.72254,1.72264,1.72254,1.72262,16800000
2006-01-02T00:46:00+00:00,1.72266,1.72277,1.72263,1.72263,71000000
2006-01-02T00:47:00+00:00,1.72267,1.72268,1.72267,1.72268,23800000
2006-01-02T00:48:00+00:00,1.72265,1.72267,1.72253,1.72259,56000000
2006-01-02T00:49:00+00:00,1.72262,1.72268,1.72256,1.72258,83500000
2006-01-02T00:50:00+00:00,1.72258,1.72272,1.72258,1.72272,42600000
2006-01-02T00:51:00+00:00,1.72263,1.72272,1.72256,1.72272,60900000
2006-01-02T00:52:00+00:00,1.72265,1.72267,1.72254,1.72266,32000000
2006-01-02T00:53:00+00:00,1.72264,1.72264,1.72258,1.7226,9400000
2006-01-02T00:54:00+00:00,1.72257,1.72273,1.72257,1.72273,34000000
