time,open,high,low,close,spread
1786410000,1.154620,1.154620,1.154515,1.154565,0.000039
1786410060,1.154555,1.154555,1.154315,1.154315,0.000035
1786410120,1.154320,1.154385,1.154320,1.154355,0.000033
1786410180,1.154360,1.154370,1.154345,1.154365,0.000035
1786410240,1.154360,1.154395,1.154345,1.154365,0.000036
1786410300,1.154360,1.154410,1.154345,1.154410,0.000040
1786410360,1.154405,1.154465,1.154405,1.154440,0.000032
1786410420,1.154435,1.154525,1.154435,1.154525,0.000034
1786410480,1.154530,1.154640,1.154530,1.154640,0.000032
1786410540,1.154650,1.154655,1.154580,1.154630,0.000029
1786410600,1.154635,1.154660,1.154605,1.154605,0.000036
1786410660,1.154600,1.154680,1.154595,1.154675,0.000037
1786410720,1.154680,1.154695,1.154545,1.154545,0.000036
1786410780,1.154550,1.154665,1.154550,1.154655,0.000031
1786410840,1.154650,1.154740,1.154645,1.154740,0.000034
1786410900,1.154745,1.154775,1.154700,1.154775,0.000044
1786410960,1.154770,1.154855,1.154765,1.154855,0.000035
1786411020,1.154840,1.154870,1.154830,1.154850,0.000035
1786411080,1.154845,1.154865,1.154820,1.154860,0.000032
1786411140,1.154865,1.154900,1.154850,1.154855,0.000031
1786411200,1.154850,1.154925,1.154840,1.154885,0.000030
1786411260,1.154880,1.154900,1.154860,1.154875,0.000035
1786411320,1.154865,1.154890,1.154865,1.154885,0.000033
1786411380,1.154880,1.154890,1.154795,1.154795,0.000032
1786411440,1.154790,1.154810,1.154770,1.154770,0.000033
1786411500,1.154775,1.154785,1.154725,1.154735,0.000038
1786411560,1.154740,1.154825,1.154740,1.154810,0.000031
1786411620,1.154805,1.154805,1.154755,1.154785,0.000038
1786411680,1.154790,1.154835,1.154790,1.154815,0.000042
1786411740,1.154830,1.154860,1.154805,1.154845,0.000031
1786411800,1.154860,1.154860,1.154825,1.154840,0.000034
1786411860,1.154845,1.154905,1.154815,1.154875,0.000034
1786411920,1.154870,1.154880,1.154850,1.154865,0.000033
