symbol,hour,offset,n,expansion_rate,med_dir,med_range,med_netto,med_mfe_20,med_mfe_60
GBPUSD,6,10,5448,0.3298,0.4624,7.1348,3.1250,5.5000,10.1579
GBPUSD,6,20,5392,0.3244,0.4589,7.1082,3.0714,5.5000,10.0588
GBPUSD,6,30,5391,0.3328,0.4597,7.0000,3.0000,5.4762,10.0526
GBPUSD,6,40,5460,0.3557,0.4712,7.4142,3.3333,5.7778,10.1250
GBPUSD,6,50,5454,0.3324,0.4559,7.8125,3.4615,6.0000,10.0667
GBPUSD,7,0,5463,0.3383,0.4615,7.5000,3.3333,5.8500,10.0000
GBPUSD,7,10,5397,0.3220,0.4615,7.0476,3.0588,5.5000,9.8545
GBPUSD,7,20,5402,0.3156,0.4591,7.0769,3.0000,5.5000,10.0625
GBPUSD,7,30,5421,0.3241,0.4595,7.1739,3.0909,5.5000,10.4615
GBPUSD,7,40,5417,0.3358,0.4615,7.3889,3.2222,5.6429,11.7586
GBPUSD,7,50,5458,0.3296,0.4545,7.6485,3.3333,5.9000,12.0769
GBPUSD,8,0,5645,0.3198,0.4583,8.0000,3.5000,6.1304,12.5000
GBPUSD,8,10,5739,0.3173,0.4444,8.2222,3.5000,6.3500,12.7247
GBPUSD,8,20,5787,0.3383,0.4615,9.9444,4.4167,7.6667,12.8333
GBPUSD,8,30,5807,0.3308,0.4615,10.0000,4.4375,7.8000,12.8421
GBPUSD,8,40,5806,0.3347,0.4610,9.2500,4.0000,7.2500,12.3660
GBPUSD,8,50,5755,0.3228,0.4583,9.1333,4.0000,7.0000,12.4000
GBPUSD,9,0,5808,0.3196,0.4592,9.0000,4.0000,6.8667,12.3171
GBPUSD,9,10,5795,0.3279,0.4533,8.5714,3.6667,6.6000,12.8750
GBPUSD,9,20,5803,0.3207,0.4516,8.9091,3.8182,6.8333,13.0000
GBPUSD,9,30,5809,0.3297,0.4561,9.3333,4.0000,7.1429,13.2500
GBPUSD,9,40,5831,0.3286,0.4593,9.1000,4.0000,7.0667,13.3333
GBPUSD,9,50,5857,0.3331,0.4651,10.4167,4.5000,8.0000,13.5000
GBPUSD,10,0,5901,0.3454,0.4615,10.6667,4.6500,8.2727,14.0667
GBPUSD,10,10,5856,0.3410,0.4667,9.5000,4.1765,7.3604,13.3333
GBPUSD,10,20,5858,0.3421,0.4706,9.3397,4.0714,7.2158,12.9412
GBPUSD,10,30,5865,0.3335,0.4615,9.4615,4.0000,7.2308,12.6871
GBPUSD,10,40,5875,0.3678,0.4892,10.5000,4.7500,8.0000,12.4167
GBPUSD,10,50,5822,0.3265,0.4545,10.0833,4.3333,7.9000,11.8824
GBPUSD,11,0,5833,0.3274,0.4490,8.8500,3.8000,6.7500,10.7727
GBPUSD,11,10,5759,0.3183,0.4535,8.1333,3.5000,6.2941,10.2143
GBPUSD,11,20,5678,0.3306,0.4619,7.9310,3.5000,6.0000,10.0000
GBPUSD,11,30,5649,0.3193,0.4531,7.5714,3.2500,5.8182,9.5000
GBPUSD,11,40,5582,0.3286,0.4545,7.3333,3.1111,5.6414,9.0000
GBPUSD,11,50,5437,0.3307,0.4607,7.2632,3.1000,5.5333,8.6000
GBPUSD,12,0,5330,0.3338,0.4615,7.0000,3.0000,5.3647,8.5000
GBPUSD,12,10,5149,0.3127,0.4477,6.4545,2.7222,5.0000,8.1519
GBPUSD,12,20,5066,0.3158,0.4583,6.1847,2.6667,4.7778,7.8571
GBPUSD,12,30,4964,0.3058,0.4500,5.9167,2.5000,4.5000,7.6667
GBPUSD,12,40,4903,0.3267,0.4646,6.0000,2.6250,4.6000,7.6154
GBPUSD,12,50,4814,0.3170,0.4525,6.1429,2.6414,4.7143,7.3929
GBPUSD,13,0,4736,0.3366,0.4824,5.8462,2.6667,4.5385,7.3333
GBPUSD,13,10,4632,0.3148,0.4615,5.3280,2.3333,4.1082,7.1144
GBPUSD,13,20,4560,0.3039,0.4583,5.1429,2.2317,4.0000,7.0000
GBPUSD,13,30,4524,0.2953,0.4470,5.0000,2.1111,3.8571,6.8333
GBPUSD,13,40,4498,0.3104,0.4575,5.1429,2.2353,4.0000,6.7777
GBPUSD,13,50,4487,0.3189,0.4690,5.4286,2.5000,4.2000,6.6667
GBPUSD,14,0,4564,0.2989,0.4578,5.0769,2.2554,3.9167,6.6000
GBPUSD,14,10,4545,0.2942,0.4675,4.7368,2.1250,3.6667,6.5000
GBPUSD,14,20,4515,0.2999,0.4615,4.6667,2.0667,3.6429,6.3000
GBPUSD,14,30,4513,0.2887,0.4665,4.6471,2.0000,3.6000,6.1144
GBPUSD,14,40,4579,0.3252,0.4754,5.0000,2.3158,3.8333,5.8889
GBPUSD,14,50,4496,0.2843,0.4392,4.9412,2.0000,3.8441,5.6667
GBPUSD,15,0,4370,0.2920,0.4697,4.5000,2.0000,3.5294,5.6132
GBPUSD,15,10,4249,0.2610,0.4706,4.0000,1.7500,3.0833,5.2500
GBPUSD,15,20,4210,0.2477,0.4464,3.9012,1.6316,3.0000,5.0556
GBPUSD,15,30,4197,0.2385,0.4375,3.9333,1.6154,3.0000,4.9189
GBPUSD,15,40,4254,0.2809,0.4645,4.2500,1.9000,3.3101,4.8333
GBPUSD,15,50,4001,0.2374,0.4286,4.2222,1.7368,3.2000,4.6667
GBPUSD,18,0,3511,0.2558,0.4706,3.8667,1.6739,3.0000,4.5000
GBPUSD,18,10,3357,0.1817,0.4545,2.9412,1.2353,2.2857,4.1875
GBPUSD,18,20,3334,0.1668,0.4500,2.8125,1.1667,2.1596,4.2632
GBPUSD,18,30,3314,0.1714,0.4583,2.8481,1.2273,2.2000,4.3333
GBPUSD,18,40,3281,0.1810,0.4727,2.8750,1.2381,2.2500,4.5000
GBPUSD,18,50,3381,0.2059,0.4545,3.4500,1.4474,2.6341,4.6154
GBPUSD,19,0,3541,0.2395,0.4595,3.6000,1.5185,2.8462,4.8421
GBPUSD,19,10,3480,0.2078,0.4756,3.2657,1.4286,2.5385,5.1667
GBPUSD,19,20,3572,0.2144,0.4737,3.3333,1.4444,2.5251,5.2727
GBPUSD,19,30,3665,0.2218,0.4722,3.4000,1.5161,2.6667,5.4434
GBPUSD,19,40,3799,0.2224,0.4545,3.7500,1.5556,2.8333,5.6250
GBPUSD,19,50,4085,0.2911,0.4605,4.6923,2.0000,3.6471,5.8000
GBPUSD,20,0,4262,0.3107,0.4765,4.8235,2.1250,3.7222,5.9474
GBPUSD,20,10,4223,0.2849,0.4667,4.2941,1.8462,3.2941,5.6754
GBPUSD,20,20,4236,0.2696,0.4658,4.1667,1.8095,3.2330,5.6667
GBPUSD,20,30,4233,0.2707,0.4531,4.0909,1.7500,3.1538,5.6429
GBPUSD,20,40,4318,0.2661,0.4409,4.3529,1.8086,3.3333,5.7692
GBPUSD,20,50,4349,0.2768,0.4444,4.6667,1.9630,3.5556,5.7876
GBPUSD,21,0,4283,0.2867,0.4676,4.4667,1.9167,3.4375,5.6522
GBPUSD,21,10,4238,0.2820,0.4791,4.1348,1.8667,3.2381,5.5000
GBPUSD,21,20,4241,0.2728,0.4643,4.3333,1.8889,3.3333,5.4375
GBPUSD,21,30,4227,0.2732,0.4583,4.3571,1.8571,3.3478,5.3158
GBPUSD,21,40,4169,0.2571,0.4636,4.0667,1.7273,3.1000,5.0769
GBPUSD,21,50,4126,0.2630,0.4615,4.0000,1.7222,3.0909,4.8750
GBPUSD,22,0,4079,0.2464,0.4533,3.9231,1.6364,3.0000,4.7647
GBPUSD,22,10,4018,0.2362,0.4706,3.5385,1.5385,2.7500,4.5833
GBPUSD,22,20,4021,0.2256,0.4600,3.5294,1.5000,2.7059,4.4375
GBPUSD,22,30,3993,0.2116,0.4588,3.4375,1.4815,2.6667,4.3529
GBPUSD,22,40,3936,0.2053,0.4545,3.3333,1.4167,2.5455,4.2667
GBPUSD,22,50,3957,0.2148,0.4545,3.4000,1.4762,2.6190,4.1633
GBPUSD,23,0,3896,0.2115,0.4667,3.3636,1.4737,2.5833,4.1333
GBPUSD,23,10,3866,0.1979,0.4608,3.1000,1.3333,2.4167,4.1304
GBPUSD,23,20,3875,0.1954,0.4717,3.0870,1.3500,2.3810,4.0000
GBPUSD,23,30,3888,0.1824,0.4583,3.0833,1.3090,2.3333,4.0833
GBPUSD,23,40,3859,0.1703,0.4444,3.0000,1.2500,2.2857,4.1250
GBPUSD,23,50,3869,0.1856,0.4545,3.1250,1.3125,2.4118,4.1579
NZDUSD,0,0,3539,0.2893,0.4783,4.4737,2.0000,3.4615,5.8750
NZDUSD,0,10,3497,0.2871,0.4719,4.3077,1.9091,3.3333,6.0000
NZDUSD,0,20,3528,0.2857,0.4649,4.4286,2.0000,3.4444,6.1111
NZDUSD,0,30,3579,0.2828,0.4737,4.4545,2.0000,3.4545,6.2000
NZDUSD,0,40,3572,0.2791,0.4634,4.4286,1.9412,3.4615,6.3693
NZDUSD,0,50,3632,0.2839,0.4468,4.7273,2.0000,3.6583,6.4375
NZDUSD,1,0,3681,0.3227,0.4808,5.0000,2.2308,3.8571,6.7351
NZDUSD,1,10,3676,0.3196,0.4797,4.8333,2.1818,3.7500,7.1250
NZDUSD,1,20,3692,0.3096,0.4615,4.9231,2.1765,3.7560,7.4545
NZDUSD,1,30,3727,0.3096,0.4706,5.0909,2.2308,3.9091,7.8235
NZDUSD,1,40,3803,0.3169,0.4694,5.2000,2.3333,4.0909,8.2500
NZDUSD,1,50,3943,0.3360,0.4648,6.2500,2.8182,4.7692,8.6667
NZDUSD,2,0,4083,0.3255,0.4608,6.9091,3.0000,5.3077,9.1000
NZDUSD,2,10,4125,0.3333,0.4681,6.5517,3.0000,5.0769,9.3333
NZDUSD,2,20,4126,0.3505,0.4774,6.6364,3.0000,5.2222,9.4580
NZDUSD,2,30,4138,0.3398,0.4716,6.6250,3.0000,5.2000,9.7351
NZDUSD,2,40,4168,0.3385,0.4737,6.6364,3.0000,5.1818,9.9474
NZDUSD,2,50,4299,0.3517,0.4750,7.6471,3.4444,6.0000,9.9310
NZDUSD,3,0,4435,0.3585,0.4815,8.1176,3.7000,6.2353,10.0000
NZDUSD,3,10,4378,0.3385,0.4647,7.5000,3.3077,5.7753,9.7692
NZDUSD,3,20,4337,0.3514,0.4717,7.3636,3.3333,5.8000,9.6000
NZDUSD,3,30,4320,0.3479,0.4667,7.1484,3.0572,5.5000,9.2857
NZDUSD,3,40,4303,0.3430,0.4717,6.8750,3.0000,5.3636,9.3000
NZDUSD,3,50,4327,0.3485,0.4725,7.1220,3.2500,5.5000,9.2053
NZDUSD,4,0,4333,0.3406,0.4737,7.2857,3.2000,5.6000,9.0000
NZDUSD,4,10,4269,0.3490,0.4790,6.7500,3.0238,5.2857,8.8333
NZDUSD,4,20,4259,0.3423,0.4687,6.6667,3.0000,5.2000,8.5714
NZDUSD,4,30,4242,0.3392,0.4651,6.6250,3.0000,5.0909,8.3333
NZDUSD,4,40,4213,0.3304,0.4651,6.3000,2.8095,4.8889,8.2000
NZDUSD,4,50,4193,0.3332,0.4667,6.4444,2.8333,5.0000,8.0000
NZDUSD,5,0,4160,0.3438,0.4689,6.3636,2.8750,4.9231,8.0000
NZDUSD,5,10,4116,0.3290,0.4677,5.9091,2.6667,4.5385,7.7500
NZDUSD,5,20,4081,0.3337,0.4697,5.8696,2.6000,4.5600,7.6667
NZDUSD,5,30,4071,0.3360,0.4719,5.7500,2.6000,4.4286,7.5455
NZDUSD,5,40,4079,0.3278,0.4651,5.5714,2.4444,4.3333,7.4167
NZDUSD,5,50,4023,0.3197,0.4651,5.7273,2.5000,4.4286,7.3750
NZDUSD,6,0,4039,0.3323,0.4722,5.8571,2.5714,4.5000,7.4000
NZDUSD,6,10,3967,0.3353,0.4667,5.6000,2.5000,4.3846,7.5000
NZDUSD,6,20,3904,0.3350,0.4656,5.5556,2.5000,4.2857,7.5000
NZDUSD,6,30,3902,0.3309,0.4650,5.5833,2.4444,4.3333,7.5714
NZDUSD,6,40,3907,0.3130,0.4583,5.4615,2.3846,4.2222,7.6000
NZDUSD,6,50,3932,0.3377,0.4723,5.8333,2.6250,4.5000,7.6667
NZDUSD,7,0,4001,0.3432,0.4737,5.9000,2.6667,4.5833,7.8182
NZDUSD,7,10,3941,0.3349,0.4750,5.7000,2.5556,4.4000,8.0000
NZDUSD,7,20,3952,0.3292,0.4592,5.7778,2.5455,4.4410,8.1667
NZDUSD,7,30,4004,0.3392,0.4800,5.8750,2.7143,4.5556,8.7000
NZDUSD,7,40,4020,0.3328,0.4682,6.0000,2.6667,4.5714,10.2222
NZDUSD,7,50,4035,0.3393,0.4750,6.4444,2.8947,4.9412,10.6471
NZDUSD,8,0,4182,0.3336,0.4615,6.8333,3.0000,5.2222,11.0000
NZDUSD,8,10,4212,0.3110,0.4525,7.1250,3.0667,5.5000,11.3333
NZDUSD,8,20,4361,0.3405,0.4692,9.0000,4.0714,7.0000,11.4545
NZDUSD,8,30,4494,0.3331,0.4558,9.1952,4.0000,7.0000,11.2222
NZDUSD,8,40,4423,0.3283,0.4559,8.0909,3.5556,6.3636,10.7778
NZDUSD,8,50,4344,0.3391,0.4762,8.2000,3.6754,6.3636,11.0000
NZDUSD,9,0,4403,0.3393,0.4588,8.2143,3.6667,6.3750,11.1053
NZDUSD,9,10,4333,0.3402,0.4706,7.6667,3.3750,6.0000,11.8000
NZDUSD,9,20,4421,0.3321,0.4595,8.1111,3.5000,6.2667,12.0000
NZDUSD,9,30,4582,0.3363,0.4583,9.0000,3.9000,6.9091,12.3333
NZDUSD,9,40,4590,0.3460,0.4687,8.8750,4.0000,6.8750,12.5000
NZDUSD,9,50,4620,0.3331,0.4615,9.8284,4.3636,7.5000,12.0909
NZDUSD,10,0,4712,0.3493,0.4714,10.0000,4.4286,7.6667,12.6000
NZDUSD,10,10,4623,0.3567,0.4737,9.0000,4.0000,7.0000,12.0000
NZDUSD,10,20,4607,0.3404,0.4667,8.7143,3.8889,6.7000,11.4286
NZDUSD,10,30,4567,0.3427,0.4706,8.6667,3.8750,6.6000,11.1667
NZDUSD,10,40,4562,0.3485,0.4737,9.2500,4.1548,7.1667,10.8000
NZDUSD,10,50,4544,0.3215,0.4500,9.1429,4.0000,7.0625,10.2344
NZDUSD,11,0,4529,0.3219,0.4598,8.0714,3.5714,6.2000,9.3704
NZDUSD,11,10,4435,0.3328,0.4667,7.2857,3.2308,5.5556,8.8462
NZDUSD,11,20,4367,0.3320,0.4624,6.9167,3.0000,5.3333,8.4286
NZDUSD,11,30,4311,0.3292,0.4634,6.6250,3.0000,5.1250,8.2404
NZDUSD,11,40,4256,0.3127,0.4527,6.2792,2.7143,4.8571,7.8974
NZDUSD,11,50,4120,0.3403,0.4728,6.3000,2.8750,4.8661,7.6667
NZDUSD,12,0,4050,0.3314,0.4592,6.0507,2.6667,4.6667,7.3604
NZDUSD,12,10,3970,0.3101,0.4615,5.5385,2.4545,4.2500,7.1667
NZDUSD,12,20,3889,0.3124,0.4590,5.3636,2.3333,4.0909,7.0909
NZDUSD,12,30,3878,0.3167,0.4783,5.2500,2.3333,4.0755,7.0000
NZDUSD,12,40,3864,0.2937,0.4524,5.0769,2.1429,3.8889,6.9231
NZDUSD,12,50,3782,0.3265,0.4615,5.4615,2.4000,4.2000,6.9393
NZDUSD,13,0,3781,0.3161,0.4658,5.3529,2.3846,4.1538,6.9000
NZDUSD,13,10,3729,0.3041,0.4687,4.8636,2.1429,3.7500,6.8062
NZDUSD,13,20,3736,0.3180,0.4865,4.7929,2.1603,3.7692,6.7071
NZDUSD,13,30,3719,0.3065,0.4675,4.7778,2.1111,3.7000,6.5000
NZDUSD,13,40,3702,0.2874,0.4592,4.6667,2.0728,3.6667,6.4615
NZDUSD,13,50,3637,0.3057,0.4750,5.0000,2.2308,3.8571,6.5000
NZDUSD,14,0,3717,0.3145,0.4730,4.9000,2.2857,3.8750,6.7417
NZDUSD,14,10,3719,0.3038,0.4722,4.5714,2.1000,3.5625,6.7778
NZDUSD,14,20,3718,0.2991,0.4667,4.7143,2.1250,3.6364,6.6667
NZDUSD,14,30,3697,0.3051,0.4783,4.6667,2.0909,3.6667,6.5000
NZDUSD,14,40,3715,0.3227,0.4776,5.0909,2.2727,4.0000,6.3158
NZDUSD,14,50,3701,0.2967,0.4510,5.3333,2.3333,4.1818,6.2222
NZDUSD,15,0,3646,0.2987,0.4726,4.8889,2.1603,3.8000,6.0718
NZDUSD,15,10,3526,0.2862,0.4800,4.2500,1.9333,3.3333,5.7500
NZDUSD,15,20,3492,0.2635,0.4550,4.1429,1.8182,3.2500,5.5086
NZDUSD,15,30,3514,0.2709,0.4673,4.1429,1.8209,3.2500,5.6000
NZDUSD,15,40,3596,0.2809,0.4545,4.3571,1.8889,3.3846,5.5000
NZDUSD,15,50,3214,0.2505,0.4444,4.2857,1.8377,3.2857,5.5714
NZDUSD,18,0,3058,0.3417,0.5000,5.4667,2.5714,4.4444,7.1538
NZDUSD,18,10,2928,0.2777,0.4896,4.3077,2.0000,3.3571,6.5480
NZDUSD,18,20,2963,0.2825,0.4783,4.4000,1.8889,3.4000,6.6667
NZDUSD,18,30,3007,0.3176,0.5000,4.7143,2.1667,3.7778,7.0000
NZDUSD,18,40,2985,0.3045,0.4872,4.6667,2.0833,3.6667,7.2247
NZDUSD,18,50,3162,0.2922,0.4651,5.1538,2.2222,4.0000,7.3333
NZDUSD,19,0,3347,0.3430,0.5000,5.4444,2.5000,4.2500,7.6250
NZDUSD,19,10,3259,0.3243,0.5000,5.0000,2.3158,4.0000,8.0667
NZDUSD,19,20,3306,0.3004,0.4741,5.2000,2.2727,4.0000,8.3636
NZDUSD,19,30,3440,0.3285,0.4872,5.4286,2.4615,4.2367,8.6667
NZDUSD,19,40,3564,0.3353,0.4851,5.5000,2.5147,4.2857,8.7000
NZDUSD,19,50,3741,0.3561,0.4779,6.6364,3.0000,5.1667,9.0000
NZDUSD,20,0,3946,0.3718,0.4922,7.0769,3.2857,5.5714,9.2000
NZDUSD,20,10,3901,0.3504,0.4839,6.4444,2.9412,5.0000,8.9231
NZDUSD,20,20,3861,0.3497,0.4762,6.4545,2.9091,5.0000,8.8333
NZDUSD,20,30,3863,0.3373,0.4685,6.3333,2.7500,4.9000,8.7500
NZDUSD,20,40,3898,0.3235,0.4641,6.2500,2.7273,4.7778,9.0476
NZDUSD,20,50,3936,0.3521,0.4754,6.6667,3.0000,5.1818,9.2222
NZDUSD,21,0,3923,0.3451,0.4839,6.7000,3.0588,5.2222,9.1250
NZDUSD,21,10,3870,0.3341,0.4600,6.2500,2.7778,4.8462,9.0000
NZDUSD,21,20,3891,0.3256,0.4651,6.7143,3.0000,5.2632,8.5714
NZDUSD,21,30,3917,0.3339,0.4667,6.8750,3.0500,5.4167,8.6154
NZDUSD,21,40,3862,0.3348,0.4682,6.2817,2.7692,4.8681,8.1250
NZDUSD,21,50,3826,0.3223,0.4676,6.0769,2.6364,4.7143,7.7333
NZDUSD,22,0,3800,0.3345,0.4651,5.9282,2.7000,4.6000,7.4615
NZDUSD,22,10,3753,0.3203,0.4706,5.5000,2.4000,4.2727,7.2857
NZDUSD,22,20,3730,0.3209,0.4750,5.4495,2.4000,4.2000,7.0000
NZDUSD,22,30,3727,0.3048,0.4615,5.3333,2.3125,4.1250,6.9375
NZDUSD,22,40,3685,0.3126,0.4677,5.0909,2.2222,3.9412,6.7500
NZDUSD,22,50,3650,0.3134,0.4737,5.1429,2.3077,4.0000,6.5774
NZDUSD,23,0,3644,0.3161,0.4762,5.0000,2.3000,3.9333,6.4545
NZDUSD,23,10,3610,0.3102,0.4811,4.6667,2.0769,3.6396,6.1111
NZDUSD,23,20,3610,0.2989,0.4706,4.6172,2.0000,3.5833,6.0000
NZDUSD,23,30,3556,0.2989,0.4825,4.5000,2.0576,3.5625,5.9091
NZDUSD,23,40,3519,0.2825,0.4687,4.4000,1.9231,3.4000,6.0000
NZDUSD,23,50,3524,0.2812,0.4612,4.3750,1.8889,3.4286,5.9000
USDCAD,0,0,3136,0.2018,0.4706,3.1319,1.3944,2.4444,4.2308
USDCAD,0,10,3080,0.1912,0.4545,3.0000,1.2941,2.3333,4.3333
USDCAD,0,20,3135,0.1898,0.4545,3.1667,1.3810,2.4375,4.5000
USDCAD,0,30,3170,0.2066,0.4651,3.1818,1.3868,2.4472,4.6667
USDCAD,0,40,3197,0.2133,0.4583,3.2000,1.3846,2.4444,4.8619
USDCAD,0,50,3288,0.2464,0.4667,3.6250,1.5714,2.7857,5.0769
USDCAD,1,0,3323,0.2732,0.4762,3.8333,1.7500,2.9412,5.3500
USDCAD,1,10,3298,0.2586,0.4891,3.6154,1.6667,2.8000,5.9444
USDCAD,1,20,3358,0.2886,0.4841,3.8947,1.7876,3.0000,6.4881
USDCAD,1,30,3451,0.2915,0.4853,4.0909,1.8750,3.1579,7.0000
USDCAD,1,40,3538,0.2883,0.4870,4.1667,1.8889,3.2222,7.2778
USDCAD,1,50,3784,0.3409,0.4783,5.5714,2.5000,4.2500,7.6154
USDCAD,2,0,3998,0.3582,0.4984,6.2000,2.9393,4.8889,8.0000
USDCAD,2,10,3959,0.3402,0.4740,5.7692,2.6000,4.4000,8.4000
USDCAD,2,20,4023,0.3510,0.4839,5.7778,2.6667,4.5000,8.9091
USDCAD,2,30,4084,0.3506,0.4815,5.9373,2.7143,4.6000,9.1250
USDCAD,2,40,4093,0.3433,0.4853,6.0000,2.7500,4.6364,9.3810
USDCAD,2,50,4245,0.3633,0.4845,7.3000,3.3333,5.5556,9.6154
USDCAD,3,0,4406,0.3595,0.4911,7.7500,3.5339,6.0833,9.5000
USDCAD,3,10,4393,0.3565,0.4719,7.1304,3.2143,5.5000,9.2971
USDCAD,3,20,4390,0.3421,0.4698,6.9828,3.0742,5.3846,9.0000
USDCAD,3,30,4361,0.3469,0.4694,6.7368,3.0000,5.2000,8.8333
USDCAD,3,40,4341,0.3435,0.4737,6.5000,3.0000,5.0000,8.6364
USDCAD,3,50,4361,0.3362,0.4646,6.8000,3.0000,5.2727,8.5000
USDCAD,4,0,4431,0.3482,0.4672,6.9091,3.0000,5.3214,8.4615
USDCAD,4,10,4350,0.3416,0.4667,6.4189,2.8571,5.0000,8.3000
USDCAD,4,20,4303,0.3333,0.4583,6.3333,2.7647,4.8889,8.0000
USDCAD,4,30,4296,0.3284,0.4615,6.3333,2.7500,4.8824,7.9604
USDCAD,4,40,4252,0.3295,0.4609,6.1000,2.6603,4.6429,7.7857
USDCAD,4,50,4275,0.3275,0.4600,6.2000,2.7500,4.7895,7.7500
USDCAD,5,0,4313,0.3431,0.4688,6.1250,2.7500,4.7778,7.7143
USDCAD,5,10,4211,0.3327,0.4643,5.8462,2.5556,4.4667,7.5556
USDCAD,5,20,4176,0.3343,0.4744,5.7670,2.6202,4.4472,7.6667
USDCAD,5,30,4202,0.3275,0.4783,5.7143,2.5333,4.4000,7.8235
USDCAD,5,40,4183,0.3270,0.4706,5.6667,2.5455,4.3846,7.7500
USDCAD,5,50,4147,0.3359,0.4726,6.1000,2.7500,4.6923,7.9091
USDCAD,6,0,4161,0.3417,0.4706,6.2000,2.7895,4.8000,7.9231
USDCAD,6,10,4118,0.3363,0.4759,5.8889,2.6132,4.5385,8.0000
USDCAD,6,20,4102,0.3362,0.4773,5.8652,2.6250,4.5000,8.0742
USDCAD,6,30,4112,0.3351,0.4706,5.8889,2.5455,4.5000,8.4000
USDCAD,6,40,4157,0.3276,0.4600,6.0000,2.6667,4.6667,8.5556
USDCAD,6,50,4204,0.3554,0.4867,6.5000,3.0000,5.0465,8.8000
USDCAD,7,0,4311,0.3605,0.4961,6.7000,3.1250,5.2222,9.1559
USDCAD,7,10,4277,0.3390,0.4722,6.5294,2.9412,5.0000,9.4583
USDCAD,7,20,4301,0.3488,0.4786,6.7000,3.0714,5.2174,10.0513
USDCAD,7,30,4344,0.3626,0.4848,6.8571,3.1579,5.4444,10.6348
USDCAD,7,40,4382,0.3654,0.4852,7.0000,3.2308,5.5000,12.7692
USDCAD,7,50,4513,0.3627,0.4823,7.7333,3.5000,6.0000,13.4286
USDCAD,8,0,4773,0.3664,0.4792,8.3000,3.8500,6.5000,13.8333
USDCAD,8,10,5046,0.3258,0.4529,9.0000,3.8787,7.0000,14.5000
USDCAD,8,20,5363,0.3535,0.4737,11.8571,5.0909,9.1000,15.0000
USDCAD,8,30,5390,0.3516,0.4706,12.0000,5.2857,9.5000,14.7574
USDCAD,8,40,5315,0.3430,0.4636,10.3333,4.5000,8.0000,13.7500
USDCAD,8,50,5273,0.3605,0.4815,10.4000,4.6111,8.0000,14.0000
USDCAD,9,0,5285,0.3493,0.4757,10.2143,4.5556,8.0000,14.0000
USDCAD,9,10,5248,0.3329,0.4604,9.4667,4.0870,7.3333,14.8750
USDCAD,9,20,5271,0.3483,0.4667,10.2500,4.5000,7.7778,15.2404
USDCAD,9,30,5326,0.3504,0.4681,11.1538,5.0000,8.6667,15.5625
USDCAD,9,40,5366,0.3388,0.4615,10.8516,4.7692,8.4375,15.6899
USDCAD,9,50,5436,0.3377,0.4706,12.0000,5.3571,9.2727,15.5000
USDCAD,10,0,5496,0.3550,0.4764,12.1765,5.5000,9.5000,16.0000
USDCAD,10,10,5368,0.3519,0.4782,11.0000,5.0000,8.5455,15.3333
USDCAD,10,20,5348,0.3467,0.4687,11.0000,4.9000,8.5000,14.7500
USDCAD,10,30,5328,0.3562,0.4783,11.0000,5.0000,8.6000,14.5294
USDCAD,10,40,5349,0.3851,0.5000,11.8333,5.5556,9.1905,13.8824
USDCAD,10,50,5345,0.3252,0.4545,11.5000,5.0000,9.0000,13.0000
USDCAD,11,0,5270,0.3283,0.4574,10.0702,4.4712,7.8918,12.2500
USDCAD,11,10,5147,0.3373,0.4638,9.2727,4.0000,7.1667,11.5500
USDCAD,11,20,5060,0.3304,0.4574,8.9091,3.9231,7.0000,10.8824
USDCAD,11,30,4956,0.3444,0.4669,8.5000,3.7778,6.5590,10.6000
USDCAD,11,40,4937,0.3535,0.4775,8.5000,3.8750,6.5385,10.0714
USDCAD,11,50,4909,0.3186,0.4496,8.1333,3.5000,6.3889,9.6962
USDCAD,12,0,4752,0.3323,0.4652,7.6429,3.3417,5.9167,9.3000
USDCAD,12,10,4582,0.3274,0.4600,7.1623,3.0572,5.5000,9.1667
USDCAD,12,20,4468,0.3418,0.4706,7.0000,3.0445,5.4167,8.9000
USDCAD,12,30,4367,0.3405,0.4737,6.6364,3.0000,5.1000,8.6250
USDCAD,12,40,4336,0.3434,0.4744,6.6364,3.0000,5.0625,8.6000
USDCAD,12,50,4269,0.3167,0.4545,6.8889,2.9444,5.2727,8.5556
USDCAD,13,0,4250,0.3322,0.4601,6.6667,3.0000,5.0955,8.5455
USDCAD,13,10,4184,0.3246,0.4615,6.2500,2.6667,4.8000,8.5000
USDCAD,13,20,4120,0.3517,0.4879,6.2143,2.8750,4.8333,8.6396
USDCAD,13,30,4083,0.3446,0.4839,6.1000,2.8667,4.7500,8.3571
USDCAD,13,40,4097,0.3393,0.4762,6.0000,2.6923,4.6667,8.3636
USDCAD,13,50,4097,0.3398,0.4725,6.2727,2.8000,4.9167,8.2308
USDCAD,14,0,4181,0.3308,0.4766,6.3333,2.9167,4.9286,8.4545
USDCAD,14,10,4198,0.3218,0.4615,6.1091,2.6364,4.6667,8.2308
USDCAD,14,20,4186,0.3349,0.4721,6.0714,2.7500,4.7333,7.9167
USDCAD,14,30,4148,0.3416,0.4722,5.9091,2.6364,4.5000,7.6000
USDCAD,14,40,4209,0.3431,0.4744,6.2273,2.8333,4.8000,7.3636
USDCAD,14,50,4155,0.3131,0.4468,6.2353,2.6552,4.8333,7.3500
USDCAD,15,0,4075,0.3261,0.4810,5.7143,2.6154,4.4706,7.2941
USDCAD,15,10,3984,0.3062,0.4694,5.2000,2.3333,4.0000,6.9286
