time,open,high,low,close,spread
1785704400,1.154830,1.154850,1.154810,1.154810,0.000735
1785704460,1.154830,1.154965,1.154790,1.154965,0.000612
1785704520,1.155000,1.155000,1.154930,1.154985,0.000567
1785704580,1.154965,1.155020,1.154845,1.154930,0.000563
1785704640,1.154975,1.154975,1.154795,1.154795,0.000424
1785704700,1.154850,1.154895,1.154835,1.154870,0.000432
1785704760,1.154880,1.154885,1.154845,1.154860,0.000455
1785704820,1.154880,1.154885,1.154865,1.154870,0.000462
1785704880,1.154855,1.154880,1.154855,1.154870,0.000464
1785704940,1.154875,1.154875,1.154800,1.154855,0.000426
1785705000,1.154845,1.154850,1.154840,1.154845,0.000402
1785705060,1.154840,1.154845,1.154795,1.154845,0.000464
1785705120,1.154820,1.154820,1.154820,1.154820,0.000360
1785705180,1.154785,1.154810,1.154785,1.154805,0.000392
1785705240,1.154800,1.154805,1.154725,1.154725,0.000378
1785705300,1.154720,1.154740,1.154720,1.154735,0.000472
1785705360,1.154740,1.154870,1.154735,1.154795,0.000480
1785705420,1.154760,1.154785,1.154730,1.154745,0.000539
1785705480,1.154740,1.154740,1.154705,1.154730,0.000550
1785705540,1.154735,1.154735,1.154725,1.154725,0.000528
1785705600,1.154720,1.154765,1.154715,1.154755,0.000544
1785705660,1.154710,1.154710,1.154610,1.154695,0.000501
1785705720,1.154690,1.154690,1.154670,1.154680,0.000508
1785705780,1.154635,1.154665,1.154615,1.154640,0.000599
1785705840,1.154645,1.154690,1.154630,1.154680,0.000531
1785705900,1.154670,1.154670,1.154665,1.154665,0.000468
1785705960,1.154670,1.154685,1.154670,1.154680,0.000490
1785706020,1.154685,1.154690,1.154660,1.154675,0.000501
1785706080,1.154665,1.154700,1.154655,1.154670,0.000487
1785706140,1.154685,1.154700,1.154655,1.154700,0.000483
1785706200,1.154695,1.154695,1.154605,1.154605,0.000462
1785706260,1.154610,1.154620,1.154600,1.154615,0.000441
1785706320,1.154610,1.154615,1.154570,1.154615,0.000479
1785706380,1.154610,1.154680,1.154590,1.154625,0.000433
1785706440,1.154635,1.154640,1.154605,1.154640,0.000417
1785706500,1.154605,1.154660,1.154605,1.154610,0.000353
1785706560,1.154615,1.154615,1.154585,1.154605,0.000356
1785706620,1.154610,1.154705,1.154605,1.154645,0.000317
1785706680,1.154650,1.154665,1.154630,1.154660,0.000362
1785706740,1.154730,1.154750,1.154660,1.154660,0.000320
1785706800,1.154705,1.154800,1.154705,1.154770,0.000417
1785706860,1.154800,1.154815,1.154770,1.154815,0.000387
1785706920,1.154820,1.154825,1.154815,1.154825,0.000380
1785706980,1.154835,1.154875,1.154835,1.154875,0.000447
1785707040,1.154880,1.154900,1.154875,1.154885,0.000429
1785707100,1.154845,1.154855,1.154815,1.154850,0.000362
1785707160,1.154860,1.154870,1.154845,1.154870,0.000343
1785707220,1.154900,1.155030,1.154900,1.155010,0.000356
1785707280,1.155005,1.155010,1.154850,1.154925,0.000370
1785707340,1.154940,1.154995,1.154835,1.154840,0.000393
1785707400,1.154865,1.154955,1.154865,1.154955,0.000449
1785707460,1.154935,1.154980,1.154795,1.154820,0.000470
1785707520,1.154815,1.155010,1.154765,1.154970,0.000370
1785707580,1.154780,1.154780,1.154705,1.154705,0.000261
1785707640,1.154715,1.154715,1.154655,1.154655,0.000325
1785707700,1.154650,1.154700,1.154620,1.154700,0.000299
1785707760,1.154645,1.154645,1.154635,1.154640,0.000213
1785707820,1.154635,1.154745,1.154635,1.154745,0.000195
1785707880,1.154750,1.154875,1.154750,1.154820,0.000320
1785707940,1.154800,1.154885,1.154800,1.154880,0.000384
1785708000,1.154875,1.155325,1.154865,1.155190,0.000184
1785708060,1.155190,1.155325,1.155040,1.155150,0.000066
1785708120,1.155140,1.155220,1.155060,1.155220,0.000064
1785708180,1.155230,1.155325,1.155175,1.155315,0.000059
1785708240,1.155355,1.155360,1.155245,1.155270,0.000068
1785708300,1.155235,1.155285,1.155090,1.155285,0.000064
1785708360,1.155280,1.155300,1.155235,1.155285,0.000062
1785708420,1.155280,1.155355,1.155270,1.155340,0.000062
1785708480,1.155315,1.155345,1.155250,1.155250,0.000057
1785708540,1.155230,1.155425,1.155225,1.155390,0.000047
1785708600,1.155370,1.155575,1.155320,1.155535,0.000052
1785708660,1.155530,1.155700,1.155515,1.155695,0.000054
1785708720,1.155710,1.155775,1.155655,1.155670,0.000052
1785708780,1.155640,1.155875,1.155625,1.155825,0.000044
1785708840,1.155820,1.155825,1.155725,1.155810,0.000043
1785708900,1.155800,1.155900,1.155735,1.155735,0.000047
1785708960,1.155725,1.155725,1.155540,1.155575,0.000042
1785709020,1.155565,1.155565,1.155485,1.155485,0.000032
1785709080,1.155470,1.155470,1.155040,1.155050,0.000045
1785709140,1.155065,1.155105,1.154900,1.155030,0.000045
1785709200,1.155025,1.155170,1.154910,1.155055,0.000054
1785709260,1.155065,1.155155,1.155000,1.155080,0.000054
1785709320,1.155090,1.155090,1.154910,1.154910,0.000047
1785709380,1.154890,1.155000,1.154875,1.154890,0.000044
1785709440,1.154910,1.154945,1.154855,1.154885,0.000050
1785709500,1.154900,1.154920,1.154845,1.154915,0.000039
1785709560,1.154910,1.154910,1.154840,1.154865,0.000042
1785709620,1.154880,1.154890,1.154815,1.154840,0.000039
1785709680,1.154830,1.154975,1.154780,1.154970,0.000036
1785709740,1.154975,1.155105,1.154975,1.155060,0.000037
1785709800,1.155070,1.155100,1.154885,1.154985,0.000039
1785709860,1.154990,1.155060,1.154985,1.155000,0.000044
1785709920,1.154995,1.155090,1.154995,1.155065,0.000041
1785709980,1.155060,1.155115,1.155050,1.155110,0.000042
1785710040,1.155100,1.155120,1.154895,1.154910,0.000043
1785710100,1.154920,1.155025,1.154920,1.155005,0.000045
1785710160,1.155000,1.155025,1.154915,1.154920,0.000046
1785710220,1.154930,1.155065,1.154930,1.154955,0.000042
1785710280,1.154945,1.155100,1.154905,1.155020,0.000043
1785710340,1.155025,1.155150,1.155000,1.155060,0.000040
1785710400,1.155045,1.155130,1.154955,1.155100,0.000050
